format_id,brand_id,name,inserted_timestamp,updated_timestamp,is_deleted,version
1,1,Walmart Supercenter,2025-02-11 14:51:09.193442,2025-02-11 14:51:09.193442,false,1
2,1,Walmart,2025-02-11 14:51:09.193442,2025-02-11 14:51:09.193442,false,1
3,1,Neighborhood Market,2025-02-11 14:51:09.193442,2025-06-04 20:13:05.736023,false,2
4,1,Clinic Pharmacy,2025-06-04 20:14:17.601240,2025-06-04 20:14:17.601240,false,1
